pollster,date,sample,Approve,Disapprove,spread
Rasmussen Reports,2025-10-21,1500 LV,48,50,Spread-2
Quinnipiac,2025-10-20,1327 RV,40,54,Spread-14
Reuters/Ipsos,2025-10-20,4385 A,42,56,Spread-14
Economist/YouGov,2025-10-20,1448 RV,43,55,Spread-12
Morning Consult,2025-10-19,2200 RV,46,51,Spread-5
Rasmussen Reports,2025-10-19,1500 LV,48,50,Spread-2
Daily Mail,2025-10-15,1004 RV,51,49,Spread+2
Emerson College,2025-10-14,1000 RV,48,50,Spread-2
Rasmussen Reports,2025-10-16,1500 LV,50,48,Spread+2
Economist/YouGov,2025-10-13,1467 RV,44,54,Spread-10
Morning Consult,2025-10-12,2202 RV,45,53,Spread-8
Rasmussen Reports,2025-10-12,1500 LV,51,48,Spread+3
Reuters/Ipsos,2025-10-07,1154 A,40,58,Spread-18
Quantus Insights,2025-10-08,1000 RV,47,51,Spread-4
Economist/YouGov,2025-10-06,1490 RV,43,55,Spread-12
RMG Research*,2025-10-09,3000 RV,51,48,Spread+3
Morning Consult,2025-10-05,2200 RV,46,52,Spread-6
CBS News,2025-10-03,2441 A,42,58,Spread-16
Harvard-Harris,2025-10-02,2413 RV,46,50,Spread-4
InsiderAdvantage,2025-09-30,800 LV,52,46,Spread+6
I&I/TIPP,2025-10-02,1459 A,42,46,Spread-4
Economist/YouGov,2025-09-29,1518 RV,43,54,Spread-11
Morning Consult,2025-09-28,2202 RV,46,52,Spread-6
Yahoo News/YouGov,2025-09-29,1129 RV,44,55,Spread-11
RMG Research*,2025-10-01,3000 RV,51,48,Spread+3
Pew Research,2025-09-28,3445 A,40,58,Spread-18
NY Times/Siena,2025-09-27,1313 RV,43,54,Spread-11
NPR/PBS/Marist,2025-09-26,1329 RV,42,53,Spread-11
Economist/YouGov,2025-09-22,1392 RV,43,55,Spread-12
Quantus Insights,2025-09-21,1000 LV,48,50,Spread-2
Morning Consult,2025-09-21,2201 RV,46,52,Spread-6
Reuters/Ipsos,2025-09-21,1019 A,41,58,Spread-17
RMG Research*,2025-09-24,3000 RV,50,49,Spread+1
Rasmussen Reports,2025-09-23,1500 LV,48,50,Spread-2
Marquette,2025-09-24,1043 A,43,57,Spread-14
Quinnipiac,2025-09-21,1276 RV,38,54,Spread-16
Atlas Intel,2025-09-16,1066 A,47,52,Spread-5
Economist/YouGov,2025-09-15,1420 RV,43,55,Spread-12
Morning Consult,2025-09-14,2204 RV,46,52,Spread-6
RMG Research*,2025-09-17,3000 RV,51,47,Spread+4
Wash Post/Ipsos,2025-09-15,RV,45,55,Spread-10
AP/NORC**,2025-09-15,1183 A,39,60,Spread-21
FOX News,2025-09-09,1004 RV,46,54,Spread-8
Gallup,2025-09-16,1000 A,40,56,Spread-16
RMG Research*,2025-09-11,3000 RV,50,48,Spread+2
Reuters/Ipsos,2025-09-09,1084 A,42,56,Spread-14
Economist/YouGov,2025-09-08,1487 RV,43,54,Spread-11
Morning Consult,2025-09-07,2200 RV,45,52,Spread-7
CBS News,2025-09-05,2385 A,44,56,Spread-12
Economist/YouGov,2025-09-02,1549 RV,44,55,Spread-11
Yahoo News,2025-09-02,1138 RV,42,56,Spread-14
RMG Research*,2025-09-03,3000 RV,50,48,Spread+2
Rasmussen Reports,2025-09-03,1500 LV,48,51,Spread-3
Morning Consult,2025-08-31,2202 RV,46,51,Spread-5
I&I/TIPP,2025-08-29,1362 A,43,47,Spread-4
Daily Mail,2025-09-01,867 RV,55,45,Spread+10
Emerson,2025-08-26,1000 RV,45,47,Spread-2
Quantus Insights,2025-08-26,1000 RV,48,51,Spread-3
RMG Research*,2025-08-28,3000 RV,50,49,Spread+1
Economist/YouGov,2025-08-25,1377 RV,43,55,Spread-12
Morning Consult,2025-08-24,2200 RV,47,51,Spread-4
Rasmussen Reports,2025-08-26,1500 LV,49,50,Spread-1
Reuters/Ipsos,2025-08-24,1022 A,40,54,Spread-14
AP/NORC**,2025-08-25,1182 A,45,53,Spread-8
Quinnipiac,2025-08-25,1220 RV,37,55,Spread-18
Harvard-Harris,2025-08-21,2025 RV,47,49,Spread-2
NBC News Decision Desk,2025-09-01,30196 A,43,57,Spread-14
InsiderAdvantage,2025-08-17,1000 LV,54,44,Spread+10
RMG Research*,2025-08-21,3000 RV,49,48,Spread+1
Morning Consult,2025-08-17,2201 RV,47,51,Spread-4
Economist/YouGov,2025-08-18,1408 RV,43,54,Spread-11
Rasmussen Reports,2025-08-19,1500 LV,49,49,Tie
Reuters/Ipsos,2025-08-18,4446 A,40,54,Spread-14
Quantus Insights,2025-08-13,1000 RV,47,51,Spread-4
Economist/YouGov,2025-08-11,1474 RV,44,53,Spread-9
RMG Research*,2025-08-14,3000 RV,48,50,Spread-2
Morning Consult,2025-08-10,2200 RV,45,51,Spread-6
Gallup,2025-08-20,1094 A,40,56,Spread-16
Rasmussen Reports,2025-08-12,1500 LV,49,49,Tie
Pew Research,2025-08-10,3554 A,38,60,Spread-22
Economist/YouGov,2025-08-04,1528 RV,43,55,Spread-12
RMG Research*,2025-08-07,3000 RV,50,49,Spread+1
Morning Consult,2025-08-03,2201 RV,45,52,Spread-7
Rasmussen Reports,2025-08-05,1500 LV,47,51,Spread-4
CNBC,2025-08-03,1000 A,46,51,Spread-5
IBD/TIPP,2025-08-01,1362 RV,45,46,Spread-1
Economist/YouGov,2025-07-28,1610 RV,44,53,Spread-9
Reuters/Ipsos,2025-07-27,1023 A,40,56,Spread-16
RMG Research*,2025-07-31,3000 RV,50,48,Spread+2
Rasmussen Reports,2025-07-29,1500 LV,48,51,Spread-3
Morning Consult,2025-07-27,2203 RV,47,50,Spread-3
Yahoo News,2025-07-28,1168 RV,44,54,Spread-10
Trafalgar/InsiderAdvantage,2025-07-23,1200 LV,50,48,Spread+2
Quantus Insights,2025-07-23,1123 RV,47,50,Spread-3
Daily Mail,2025-07-22,1007 RV,49,51,Spread-2
Emerson,2025-07-22,1400 RV,46,47,Spread-1
Economist/YouGov,2025-07-21,1551 RV,43,56,Spread-13
FOX News,2025-07-21,1000 RV,46,54,Spread-8
RMG Research*,2025-07-24,3000 RV,50,48,Spread+2
Rasmussen Reports,2025-07-22,1500 LV,50,49,Spread+1
Morning Consult,2025-07-20,2202 RV,45,52,Spread-7
Wall Street Journal,2025-07-20,1500 RV,46,52,Spread-6
CBS News,2025-07-18,2343 A,42,58,Spread-16
Reuters/Ipsos,2025-07-16,1027 A,41,54,Spread-13
Quantus Insights,2025-07-16,1000 RV,48,50,Spread-2
Atlas Intel,2025-07-18,1935 A,44,55,Spread-11
Gallup,2025-07-21,1002 A,37,58,Spread-21
Big Data Poll,2025-07-14,3022 RV,48,49,Spread-1
AP/NORC**,2025-07-14,1437 A,40,58,Spread-18
Marquette,2025-07-16,1005 A,45,55,Spread-10
Economist/YouGov,2025-07-14,1506 RV,43,54,Spread-11
RMG Research*,2025-07-16,3000 RV,52,48,Spread+4
Morning Consult,2025-07-13,2201 RV,47,50,Spread-3
Rasmussen Reports,2025-07-15,1500 LV,48,50,Spread-2
Quinnipiac,2025-07-14,1290 RV,40,54,Spread-14
CNN,2025-07-13,RV,44,56,Spread-12
Daily Mail,2025-07-10,1013 RV,48,52,Spread-4
Harvard-Harris,2025-07-08,2044 RV,47,49,Spread-2
Economist/YouGov,2025-07-07,1389 RV,43,54,Spread-11
Morning Consult,2025-07-06,2203 RV,45,52,Spread-7
Rasmussen Reports,2025-07-08,1500 LV,49,49,Tie
RMG Research*,2025-07-10,3000 RV,50,47,Spread+3
Quantus Insights,2025-07-02,1000 RV,47,49,Spread-2
Economist/YouGov,2025-06-30,1491 RV,45,53,Spread-8
Yahoo News,2025-06-30,1074 RV,45,54,Spread-9
Morning Consult,2025-06-29,2202 RV,47,50,Spread-3
Rasmussen Reports,2025-06-30,1500 LV,51,47,Spread+4
I&I/TIPP,2025-06-27,1421 A,44,45,Spread-1
Emerson,2025-06-25,1000 RV,45,46,Spread-1
NPR/PBS/Marist,2025-06-25,1206 RV,44,53,Spread-9
Quantus Insights,2025-06-25,1000 RV,47,50,Spread-3
Quinnipiac,2025-06-24,979 RV,41,54,Spread-13
RMG Research*,2025-06-26,3000 RV,51,47,Spread+4
Reuters/Ipsos,2025-06-23,1139 A,41,57,Spread-16
Economist/YouGov,2025-06-23,1455 RV,43,54,Spread-11
Morning Consult,2025-06-22,2205 RV,45,53,Spread-8
Rasmussen Reports,2025-06-23,1500 LV,52,47,Spread+5
Trafalgar Group,2025-06-20,1085 LV,54,45,Spread+9
FOX News,2025-06-16,1003 RV,46,54,Spread-8
